Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
5/29/24,1537,174.19,178.15,173.93,176.19,82,-162
5/28/24,1135,176.4,178.25,173.16,176.75,65,-89
5/27/24,1015,,,,,40,-82
5/24/24,1991,174.835,180.08,173.73,179.24,101,-187
5/23/24,1794,181.8,181.9,173.26,173.74,115,-191
5/22/24,2209,182.85,183.8,178.12,180.11,226,-207
5/21/24,1935,175.51,186.875,174.71,186.6,71,-200
5/20/24,1153,177.56,177.754,173.52,174.95,44,-98
5/17/24,1716,173.55,179.63,172.75,177.46,92,-174
5/16/24,2080,174.1,175.79,171.43,174.84,76,-293
5/15/24,1970,179.9,180,173.11,173.99,111,-344
5/14/24,1707,174.4959,179.49,174.07,177.55,80,-188
5/13/24,1208,170,175.4,169,171.89,33,-120
5/10/24,2037,173.05,173.0599,167.75,168.47,57,-309
5/9/24,2337,175.01,175.62,171.37,171.97,65,-545
5/8/24,2214,171.59,176.06,170.15,174.72,76,-446
5/7/24,1947,182.4,183.26,177.4,177.81,100,-335
5/6/24,1569,183.8,187.56,182.2,184.76,79,-147
5/3/24,1915,182.1,184.78,178.42,181.19,129,-222
5/2/24,2343,182.86,184.6,176.02,180.01,106,-284
5/1/24,2880,182,185.86,179.01,179.99,178,-408
4/30/24,5122,186.98,190.95,182.8401,183.28,819,-471
4/29/24,3239,188.42,198.87,184.54,194.05,258,-248
4/26/24,2633,168.85,172.12,166.37,168.29,248,-401
4/25/24,4287,158.96,170.88,158.36,170.18,628,-596
4/24/24,8871,162.84,167.97,157.51,162.13,1085,-1464
4/23/24,4082,143.33,147.26,141.11,144.68,245,-875
4/22/24,2536,140.56,144.44,138.8025,142.05,66,-557
4/19/24,3216,148.97,150.94,146.22,147.05,147,-689
4/18/24,3493,151.25,152.2,148.7,149.93,127,-579
4/17/24,3325,157.64,158.33,153.78,155.45,156,-857
4/16/24,4633,156.742,158.19,153.75,157.11,131,-1576
