Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
3/1/21,837,230.0367,290.6667,228.35,239.4767,5,-6
2/26/21,2102,233.3333,235.5667,219.8367,225.1667,15,-122
2/25/21,1711,242.05,245.7355,223.5267,227.4067,63,-43
2/24/21,3054,237.2833,248.3333,231.39,247.34,49,-265
2/23/21,3197,220.71,237.87,206.3333,232.9467,36,-162
2/22/21,1288,254.2133,256.1667,236.7333,238.1667,30,-10
2/19/21,1748,265,265.5966,259.1233,260.4333,25,-46
2/18/21,1905,260.3,264.8967,258.7567,262.46,60,-49
2/17/21,1758,259.6967,266.6133,254.0033,266.05,30,-74
2/16/21,1333,272.6667,273.6667,264.1467,265.4067,12,-3
2/15/21,1208,,,,,11,-11
2/12/21,1397,267.0867,272.4433,261.7769,272.04,38,-26
2/11/21,1985,270.8133,276.6266,267.2417,270.5533,35,-85
2/10/21,2359,281.2117,281.6067,266.6733,268.2733,44,-19
2/9/21,5446,285.04,286.6,280.5833,283.1533,260,-16
2/8/21,1988,289.89,292.59,284.9167,287.8067,11,-3
2/5/21,1456,281.6667,288.2567,279.6567,284.0767,10,-6
2/4/21,1462,285,285.5,277.8067,283.33,15,-5
2/3/21,2059,292.34,292.6933,284.3549,284.8967,34,-17
2/2/21,2155,281.56,293.5,280.7335,290.93,61,-15
2/1/21,1626,271.43,280.6667,265.1867,279.9367,20,-3
1/29/21,2539,276.6668,280.8033,260.0333,264.51,46,-64
1/28/21,3836,273.3333,282.6667,267,278.4767,156,-146
1/27/21,1678,290.1167,297.1667,286.22,288.0533,76,-13
1/26/21,1687,297.1267,298.6333,290.5333,294.3633,37,-8
1/25/21,1225,285,300.1333,279.6067,293.6,25,-10
1/22/21,1318,278.1033,282.6667,276.2067,282.2133,40,-10
1/21/21,1387,285,285.24,280.4734,281.6633,39,-4
1/20/21,1531,286.2467,286.5,279.0933,283.4833,45,-8
1/19/21,968,279.2667,283.3333,277.6667,281.5167,17,-6
1/18/21,814,,,,,4,-5
1/15/21,1327,284,286.6333,273.0333,275.3867,24,-11
1/14/21,1895,281.13,287.6667,279.5833,281.6667,19,-16
1/13/21,1816,284.2533,286.8233,277.3333,284.8033,37,-15
1/12/21,2027,277,289.3333,275.78,283.1467,37,-37
1/11/21,1576,283.1333,284.81,267.8741,270.3967,19,-10
1/8/21,4248,285.3333,294.83,279.4633,293.34,304,-17
1/7/21,1545,259.21,272.33,258.4,272.0133,67,-6
1/6/21,1413,252.83,258,249.7,251.9933,51,-14
1/5/21,1907,241.22,246.9467,239.7333,245.0367,93,-8
1/4/21,1994,239.82,248.1633,239.0632,243.2567,54,-5
1/1/21,948,,,,,36,-8
12/31/20,1067,233.33,239.5733,230.3733,235.2233,34,-3
12/30/20,1029,224,232.2,222.7868,231.5933,31,-1
12/29/20,1318,220.3333,223.3,218.3333,221.9967,21,-8
12/28/20,890,224.8367,227.1333,220.2667,221.23,5,-5
12/25/20,678,,,,,15,-3
12/24/20,1052,214.33,222.03,213.6667,220.59,13,-11
12/23/20,2248,210.7333,217.1666,207.5234,215.3267,23,-62
12/22/20,2171,216,216.6267,204.7433,213.4467,100,-112
12/21/20,1408,222.08,222.8333,215.3567,216.62,28,-22
12/18/20,1224,222.9667,231.6667,209.5133,231.6667,53,-6
12/17/20,807,209.3967,219.6067,206.5,218.6333,5,-2
12/16/20,899,209.41,210.8333,201.6667,207.59,7,-9
12/15/20,1047,214.4267,215.6333,207.9333,211.0833,29,-9
12/14/20,798,206.3333,214.25,203.4,213.2767,6,-5
12/11/20,1417,205.0033,208,198.9333,203.33,23,-29
12/10/20,1839,191.4567,209.25,188.78,209.0233,49,-24
12/9/20,2081,217.8967,218.1067,196,201.4933,91,-44
12/8/20,1849,208.5017,217.0933,206.1667,216.6267,35,-21
12/7/20,635,201.6399,216.2619,201.0167,213.92,2,-3
12/4/20,1096,197.0033,199.68,195.1667,199.68,61,-14
12/3/20,1230,196.6733,199.6567,194.1433,197.7933,35,-19
12/2/20,1367,185.48,190.5133,180.4033,189.6067,33,-26
12/1/20,1248,199.1967,199.2833,190.6833,194.92,49,-14
11/30/20,726,200.7367,202.6,184.8367,189.2,16,-7
11/27/20,880,193.72,199.5933,192.8167,195.2533,8,-19
11/26/20,1224,,,,,41,-9
11/25/20,2091,183.3533,191.3333,181.79,191.3333,145,-4
11/24/20,1818,180.1333,186.6633,175.4,185.1267,124,-9
11/23/20,620,167.8333,175.3333,167.2633,173.95,16,-3
11/20/20,1216,165.9967,167.5,163.02,163.2033,52,-6
11/19/20,1447,164,169.5371,162.5233,166.4233,59,-14
11/18/20,2017,149.45,165.3333,147.8334,162.2133,129,-14
11/17/20,1604,153.39,154,144.3367,147.2033,159,-20
11/16/20,725,136.31,137.4833,134.6956,136.03,2,0
11/13/20,1108,136.95,137.5106,133.8867,136.1667,9,-10
11/12/20,677,138.35,141,136.5067,137.2533,5,-2
11/11/20,619,138.8167,139.565,136.86,139.0433,3,-6
11/10/20,840,140.03,140.03,132.01,136.7867,8,-6
